GatewayID,SoilMoistureSystemID,GatewayTimestamp,DataTransmitted
Gateway001,SMS001,2023-08-22 17:55:12.095252,True
Gateway001,SMS001,2023-08-23 01:55:09.095252,True
Gateway001,SMS001,2023-08-23 17:55:09.095252,True
Gateway001,SMS001,2023-08-24 01:55:11.095252,True
Gateway001,SMS001,2023-08-24 17:55:11.095252,True
Gateway001,SMS001,2023-08-25 01:55:12.095252,True
Gateway001,SMS001,2023-08-25 17:55:05.095252,True
Gateway001,SMS001,2023-08-26 01:55:09.095252,True
Gateway001,SMS001,2023-08-26 17:55:11.095252,True
Gateway001,SMS001,2023-08-27 01:55:13.095252,True
Gateway001,SMS001,2023-08-27 17:55:12.095252,True
Gateway001,SMS001,2023-08-28 01:55:12.095252,True
Gateway001,SMS001,2023-08-28 17:55:07.095252,True
Gateway001,SMS001,2023-08-29 01:55:11.095252,True
Gateway001,SMS001,2023-08-29 17:55:14.095252,True
Gateway001,SMS001,2023-08-30 01:55:05.095252,True
Gateway001,SMS001,2023-08-30 17:55:09.095252,True
Gateway001,SMS001,2023-08-31 01:55:14.095252,True
Gateway001,SMS001,2023-08-31 17:55:08.095252,True
Gateway001,SMS001,2023-09-01 01:55:11.095252,True
Gateway001,SMS001,2023-09-01 17:55:10.095252,True
Gateway001,SMS001,2023-09-02 01:55:11.095252,True
Gateway001,SMS001,2023-09-02 17:55:07.095252,True
Gateway001,SMS001,2023-09-03 01:55:05.095252,True
Gateway001,SMS001,2023-09-03 17:55:05.095252,True
Gateway001,SMS001,2023-09-04 01:55:11.095252,True
Gateway001,SMS001,2023-09-04 17:55:07.095252,True
Gateway001,SMS001,2023-09-05 01:55:14.095252,True
Gateway001,SMS001,2023-09-05 17:55:09.095252,True
Gateway001,SMS001,2023-09-06 01:55:07.095252,True
Gateway001,SMS001,2023-09-06 17:55:11.095252,True
Gateway001,SMS001,2023-09-07 01:55:08.095252,True
Gateway001,SMS001,2023-09-07 17:55:10.095252,True
Gateway001,SMS001,2023-09-08 01:55:13.095252,True
Gateway001,SMS001,2023-09-08 17:55:13.095252,True
Gateway001,SMS001,2023-09-09 01:55:11.095252,True
Gateway001,SMS001,2023-09-09 17:55:05.095252,True
Gateway001,SMS001,2023-09-10 01:55:10.095252,True
Gateway001,SMS001,2023-09-10 17:55:11.095252,True
Gateway001,SMS001,2023-09-11 01:55:10.095252,True
Gateway001,SMS001,2023-09-11 17:55:13.095252,True
Gateway001,SMS001,2023-09-12 01:55:13.095252,True
Gateway001,SMS001,2023-09-12 17:55:09.095252,True
Gateway001,SMS001,2023-09-13 01:55:13.095252,True
Gateway001,SMS001,2023-09-13 17:55:12.095252,True
Gateway001,SMS001,2023-09-14 01:55:07.095252,True
Gateway001,SMS001,2023-09-14 17:55:12.095252,True
Gateway001,SMS001,2023-09-15 01:55:12.095252,True
Gateway001,SMS001,2023-09-15 17:55:13.095252,True
Gateway001,SMS001,2023-09-16 01:55:10.095252,True
Gateway001,SMS001,2023-09-16 17:55:08.095252,True
Gateway001,SMS001,2023-09-17 01:55:14.095252,True
Gateway001,SMS001,2023-09-17 17:55:14.095252,True
Gateway001,SMS001,2023-09-18 01:55:12.095252,True
Gateway001,SMS001,2023-09-18 17:55:07.095252,True
Gateway001,SMS001,2023-09-19 01:55:11.095252,True
Gateway001,SMS001,2023-09-19 17:55:08.095252,True
Gateway001,SMS001,2023-09-20 01:55:14.095252,True
Gateway001,SMS001,2023-09-20 17:55:09.095252,True
Gateway001,SMS001,2023-09-21 01:55:05.095252,True
Gateway001,SMS001,2023-09-21 17:55:13.095252,True
Gateway001,SMS001,2023-09-22 01:55:05.095252,True
Gateway001,SMS001,2023-09-22 17:55:11.095252,True
